Area Type,Availability,Location,Size,Society,Total Sqft,Balcony,Price,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,1.0,29.6,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1532,1.0,65.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Guni Agrahara,3 BHK,,1200,2.0,120.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,AlourAr,1250,2.0,65.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1188,1.0,39.0,,,,,,,,,,,,
Built-up  Area,19-Oct,Whitefield,4 Bedroom,NVaree ,3565,0.0,218.0,,,,,,,,,,,,
Super built-up  Area,19-Jan,Marathahalli,2 BHK,PrensKe,1170,2.0,85.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,BEL Road,3 BHK,,1800,2.0,150.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Madavara,2 Bedroom,,1000,1.0,35.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,,2600,1.0,375.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,,1200,3.0,240.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,Radenta,2507,2.0,155.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,ARngsd ,1061,1.0,34.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1290,2.0,69.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1200,1.0,42.6,,,,,,,,,,,,
Super built-up  Area,18-May,Bharathi Nagar,2 BHK,,1120,2.0,39.29,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronic City,1 BHK,,418,1.0,12.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Sondaka,1333,1.0,50.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,2.0,119.0,,,,,,,,,,,,
Super built-up  Area,19-Dec,Thanisandra,1 BHK,Cotaror,684 - 810,0.0,34.355,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,1700,3.0,250.0,,,,,,,,,,,,
Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,2030,1.0,125.0,,,,,,,,,,,,
Super built-up  Area,18-Mar,Balagere,2 BHK,Soresea,1012,1.0,70.0,,,,,,,,,,,,
Carpet  Area,Ready To Move,Kudlu,3 BHK,,1245,1.0,60.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1765,2.0,118.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srtusi ,1110,2.0,36.25,,,,,,,,,,,,
Built-up  Area,Ready To Move,Akash Nagar,2 BHK,,967,1.0,47.8,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044,2.0,36.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Baentgi,1518,3.0,80.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,KR Puram,3 BHK,SLontel,1300,2.0,57.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,Sapazta,1798,3.0,73.0,,,,,,,,,,,,
Carpet  Area,Ready To Move,KR Puram,2 BHK,Jahidva,866.28,0.0,36.38,,,,,,,,,,,,
Super built-up  Area,18-Feb,Whitefield,4 BHK,BrlisCo,3410,3.0,253.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Singasandra,2 BHK,EAvarum,1179,2.0,56.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,PhestOn,3600,,510.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125,1.0,48.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Cambridge Layout,3 BHK,,2098,1.0,210.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,,2400,1.0,270.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Haralur Road,3 BHK,,1976,2.0,92.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Niaveha,1190,2.0,61.8,,,,,,,,,,,,
Super built-up  Area,Ready To Move,cooketown,3 BHK,,1800,3.0,192.0,,,,,,,,,,,,
Super built-up  Area,19-Sep,Jakkur,3 BHK,Ceezey ,1761,1.0,84.52,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Cooke Town,3 BHK,,1700,3.0,120.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,900,1.0,70.0,,,,,,,,,,,,
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,1.0,64.8,,,,,,,,,,,,
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,,2000,2.0,85.0,,,,,,,,,,,,
Built-up  Area,18-Dec,Electronic City,3 BHK,,1220,1.0,35.25,,,,,,,,,,,,
Super built-up  Area,19-Jan,Shauhardha Layout,1 BHK,Ardaseo,509,1.0,20.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1852,2.0,122.0,,,,,,,,,,,,
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1045,1.0,40.65,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kaverappa Layout,4 BHK,Varve R,3535,2.0,215.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1102,2.0,53.67,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Omkar Nagar,4 BHK,Shinei ,1800,2.0,82.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,,1436,2.0,75.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Chikkadunnasandra,3 BHK,Kr 10Ca,1397,,52.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1140,2.0,56.0,,,,,,,,,,,,
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,645,1.0,55.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Bank Of Baroda Colony,5 Bedroom,,2350,,325.0,,,,,,,,,,,,
Plot  Area,18-May,Nagarbhavi,3 Bedroom,,1200,2.0,225.0,,,,,,,,,,,,
Carpet  Area,Ready To Move,Bhoopsandra,3 BHK,E onsg ,2050,2.0,135.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1335,1.0,95.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Thirumenahalli,2 Bedroom,,2100,1.0,200.0,,,,,,,,,,,,
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,2.0,77.68,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140,1.0,59.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2376,1.0,240.0,,,,,,,,,,,,
Super built-up  Area,19-Mar,Thanisandra,1 BHK,Bhe 2ko,663,1.0,46.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Victoria Layout,2 BHK,,1276,0.0,146.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,60.9,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,,1400,3.0,66.0,,,,,,,,,,,,
Super built-up  Area,17-Oct,Divya Unnathi Layout,2 BHK,,1339,1.0,53.56,,,,,,,,,,,,
Built-up  Area,18-Dec,Electronic City,3 BHK,,1220,1.0,35.23,,,,,,,,,,,,
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2200,2.0,275.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Harohalli,2 BHK,,1305,2.0,52.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Sravea ,1740,3.0,80.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Anekal,2 BHK,,680,1.0,21.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1154,2.0,47.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1200,2.0,40.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1155,2.0,54.5,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1525,3.0,63.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Giri Nagar,1 Bedroom,,600,1.0,125.0,,,,,,,,,,,,
Super built-up  Area,19-Dec,Hebbal,4 BHK,Raard B,2470,2.0,192.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1100,1.0,60.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Savar S,1250,2.0,65.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kothanur,2 BHK,YMhenLi,1400,1.0,70.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ittamadu,3 BHK,Naory G,1600,2.0,100.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,1.0,55.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1272,2.0,50.0,,,,,,,,,,,,
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2.0,105.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Dollars Colony,4 BHK,,2100,2.0,280.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,AjityIn,1945,3.0,115.0,,,,,,,,,,,,
Super built-up  Area,19-Nov,Chandapura,3 BHK,,1033,2.0,30.47,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,Pantsce,2300,,69.0,,,,,,,,,,,,
Super built-up  Area,18-Aug,Gunjur Palya,2 BHK,,1235,2.0,52.76,,,,,,,,,,,,
Super built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,Aplanje,2100,1.0,270.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,Sharlth,850,1.0,42.5,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1880,2.0,110.0,,,,,,,,,,,,
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2450,2.0,368.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,Unateit,1060,2.0,52.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2041,3.0,138.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Hulimavu,2 Bedroom,,1050,2.0,125.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1037,1.0,36.28,,,,,,,,,,,,
Built-up  Area,21-Dec,"Electronic city phase 1, ",2 BHK,,1150,1.0,39.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,MCrds S,1184,1.0,62.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1680,2.0,126.0,,,,,,,,,,,,
Super built-up  Area,18-Apr,Thanisandra,3 BHK,Bhe 2ko,1411,2.0,100.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Hosa Road,5 Bedroom,,900,0.0,55.0,,,,,,,,,,,,
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,,900,2.0,41.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Jakkur Plantation,4 BHK,,3500,3.0,320.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702,2.0,120.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,BKideor,1185,2.0,45.0,,,,,,,,,,,,
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1300,1.0,64.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,Vanusn ,1545,2.0,65.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,NCierar,1515,2.0,135.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1300,3.0,55.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,,1107,1.0,57.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1720,2.0,106.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kuvempu Nagar,3 BHK,Srersas,1540,2.0,150.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1000,1.0,44.5,,,,,,,,,,,,
Super built-up  Area,21-Dec,Electronic City,1 BHK,KonteiT,710,1.0,40.42,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100,1.0,38.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,4 Bedroom,KrodsNo,3200,0.0,270.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Domlur Layout,2 Bedroom,,900,2.0,160.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,1250,0.0,48.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Kaggadasapura,5 Bedroom,,2400,3.0,130.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1584.01,1.0,104.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Vasanth nagar,4 Bedroom,,875,0.0,150.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Kammasandra,4 Bedroom,,1200,3.0,60.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,SrncyRe,1485,2.0,70.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1100,1.0,78.0,,,,,,,,,,,,
Super built-up  Area,18-Mar,8th Phase JP Nagar,2 BHK,,1245,1.0,59.0,,,,,,,,,,,,
Built-up  Area,19-Dec,Hennur Road,4 Bedroom,Ciris P,1880,0.0,154.0,,,,,,,,,,,,
Super built-up  Area,20-Jul,Frazer Town,3 BHK,,2214,3.0,350.0,,,,,,,,,,,,
Built-up  Area,18-Jun,Anathanagar,2 BHK,,1050,2.0,45.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,600,2.0,95.0,,,,,,,,,,,,
Super built-up  Area,19-Jul,Bannerghatta Road,3 BHK,Uncioe ,1640,2.0,105.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Basavanapura,2 BHK,Papusa ,1165,1.0,65.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MMowsik,1110,1.0,43.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,vinayakanagar,7 BHK,,1200,2.0,200.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,St. John's Road,4 BHK,Soy 1Iv,4000,2.0,630.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Uttarahalli,4 Bedroom,,4500,0.0,150.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Jaraganahalli Jp Nagar Post,4 Bedroom,,600,3.0,65.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,75.0,,,,,,,,,,,,
Plot  Area,Ready To Move,adigondanhalli,2 Bedroom,,1200,0.0,42.0,,,,,,,,,,,,
Plot  Area,Immediate Possession,Yelahanka,,Saaveha,1200 - 1800,,12.75,,,,,,,,,,,,
Super built-up  Area,18-Aug,Hennur Road,2 BHK,Puachal,1232,1.0,69.61,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,1704,2.0,94.36,,,,,,,,,,,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1275,2.0,88.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,GCiewty,1222,1.0,68.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Varthur,2 BHK,MKllei ,1155,2.0,39.0,,,,,,,,,,,,
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1000,1.0,29.95,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Bhave E,1200,1.0,45.0,,,,,,,,,,,,
Super built-up  Area,19-Dec,Yelahanka,3 BHK,Goues A,1517,2.0,71.28,,,,,,,,,,,,
Super built-up  Area,18-May,Horamavu Agara,2 BHK,,1166,1.0,37.29,,,,,,,,,,,,
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,870,2.0,24.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,,4000,2.0,170.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,1350,1.0,230.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Niareum,3019,,190.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SearkHy,1345,1.0,58.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Dommasandra,3 Bedroom,,900,1.0,75.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,AkoreEn,3800,2.0,170.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Chandapura,3 BHK,,971,2.0,38.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,1.0,52.32,,,,,,,,,,,,
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,Loe 1st,1810,2.0,65.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,"Whitefield, ",2 BHK,,1300,1.0,58.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,45.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,ShaleSp,1350,3.0,68.0,,,,,,,,,,,,
Super built-up  Area,20-Jun,Budigere,3 BHK,Brstaue,1510 - 1670,0.0,76.16,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thyagaraja Nagar,7 BHK,,3000,3.0,180.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Brookefield,4 Bedroom,,1560,2.0,149.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,ManceEl,1650,,126.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Off Bannergatta Road,3 BHK,,1645,2.0,87.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1748,,103.0,,,,,,,,,,,,
Plot  Area,18-Nov,Channasandra,3 Bedroom,,1200,1.0,67.77,,,,,,,,,,,,
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Rooodre,1170,3.0,50.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Saitya ,3420,2.0,225.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Hulimavu,3 BHK,Naepa D,1320,2.0,65.0,,,,,,,,,,,,
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1610,2.0,84.53,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Bamita ,1870,3.0,180.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1510,1.0,110.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Kammagondahalli,6 Bedroom,,2700,3.0,110.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kanakapura  Rod,3 BHK,,1305,1.0,45.68,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1500,1.0,70.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Goareir,1149,1.0,130.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Thanisandra,4 BHK,Bhmesy ,1948,2.0,129.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,,1448,1.0,70.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,SJityaz,1242,1.0,78.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,1.0,58.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Saoneil,1101,1.0,50.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,Bhmesa ,1255,3.0,65.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Gunjur,3 BHK,DSerste,1362,1.0,62.63,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puops R,984,2.0,140.0,,,,,,,,,,,,
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1089,1.0,32.67,,,,,,,,,,,,
Built-up  Area,Ready To Move,Byrathi Village,2 BHK,,800,3.0,95.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,1.0,57.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Thanisandra,8 Bedroom,,3600,3.0,125.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Krishna Nagar,4 Bedroom,,1650,1.0,140.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,1.0,45.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Mantsce,1068,1.0,43.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,KHatsFl,860,2.0,31.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Kengeri,8 Bedroom,,3000,,130.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1756,2.0,66.73,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,1.0,41.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Hoodi,8 Bedroom,,1120,,155.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800,2.0,125.0,,,,,,,,,,,,
Super built-up  Area,18-Jan,Ashok Nagar,4 BHK,,8321,2.0,2912.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Hormavu,3 BHK,Neise P,1604,0.0,68.0,,,,,,,,,,,,
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,3.0,204.0,,,,,,,,,,,,
Super built-up  Area,18-Dec,Chandapura,2 BHK,SunceEs,1015,2.0,25.88,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1200,2.0,42.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,1010,2.0,38.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Nagarbhavi,2 Bedroom,,1250,0.0,170.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1010,1.0,41.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,DStus S,1050,2.0,33.1,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1710,2.0,85.0,,,,,,,,,,,,
Super built-up  Area,19-Jan,Mysore Road,3 BHK,PrntaEn,1248.52,2.0,115.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Attibele,1 BHK,,410,1.0,10.0,,,,,,,,,,,,
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,DSnjh S,1656,1.0,62.93,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Naganathapura,3 BHK,Malmsri,1451,1.0,68.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Giri Nagar,6 BHK,,1200,0.0,175.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maerar ,1250,2.0,93.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Meenakunte,3 Bedroom,Sreat R,4395,3.0,240.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Emceske,4600,2.0,650.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,Laiteya,1340,3.0,42.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,SSaveik,1100,2.0,38.5,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Toindls,6000,,700.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,Heate L,1700,1.0,71.0,,,,,,,,,,,,
Plot  Area,Ready To Move,Yelahanka,6 Bedroom,,1200,0.0,150.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SViseun,1096,1.0,43.0,,,,,,,,,,,,
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1160,1.0,33.5,,,,,,,,,,,,
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1936,2.0,139.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Undge T,1269,2.0,63.0,,,,,,,,,,,,
Super built-up  Area,19-Dec,Richmond Road,3 BHK,,3500,1.0,630.0,,,,,,,,,,,,
Super built-up  Area,18-May,Panathur,3 BHK,Prcesvy,1586,1.0,125.0,,,,,,,,,,,,
Super built-up  Area,18-Jul,Rajaji Nagar,2 BHK,ProdsWe,1376,1.0,124.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,56.5,,,,,,,,,,,,
Super built-up  Area,18-Aug,Hosa Road,3 BHK,Sosisic,1538,1.0,107.0,,,,,,,,,,,,
Super built-up  Area,18-May,Hosur Road,3 BHK,PuendWe,1427,1.0,130.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Upadhyaya Layout,2 BHK,,935,0.0,40.0,,,,,,,,,,,,
Built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,Raeusiy,1220,3.0,65.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,1.0,77.0,,,,,,,,,,,,
Super built-up  Area,18-Dec,Varthur,2 BHK,,674,1.0,19.9,,,,,,,,,,,,
Built-up  Area,Ready To Move,Kengeri,1 BHK,,410,1.0,15.0,,,,,,,,,,,,
Built-up  Area,18-Apr,Thanisandra,3 BHK,Bhmesy ,1573,1.0,90.0,,,,,,,,,,,,
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Srsami ,1135,2.0,58.0,,,,,,,,,,,,
Built-up  Area,18-Dec,Huskur,3 BHK,,1400,1.0,40.43,,,,,,,,,,,,
